,game_id,event_id,inning,inning_top_bot,score,batting,fielding,description,player1,player1_end,player2,player2_end,player3,player3_end,player4,player4_end,pinch_player_in,pinch_player_out
1933,20,78,8,top,9-0,Oregon,Stanford,"Patzlaff, D advanced to second Kasser, K advanced to third on a throwing error by c.","Patzlaff, D",second,"Kasser, K",third,,,,,,
1934,20,79,8,top,9-0,Oregon,Stanford,"Matthews, G flied out to rf (3-0 BBB).","Matthews, G",out,,,,,,,,
1935,20,80,8,bot,9-0,Stanford,Oregon,"Hobaica, J to p for Breault, H.",,,,,,,,,,
1936,20,81,8,bot,9-0,Stanford,Oregon,"Kuet,J walked (3-2 BKBFBB).","Kuet,J",first,,,,,,,,
1937,20,82,8,bot,9-1,Stanford,Oregon,"Tawa, T. doubled to right center, RBI (0-1 K) Kuet,J scored.","Tawa, T.",second,"Kuet,J",score,,,,,,
1938,20,83,8,bot,9-1,Stanford,Oregon,"Hoerner,N flied out to cf (0-1 K).","Hoerner,N",out,,,,,,,,
1939,20,84,8,bot,9-1,Stanford,Oregon,"Wilson, A. pinch hit for Wulff, B..","Wilson, A.",unknown,"Wulff, B.",unknown,,,,,,
1940,20,85,8,bot,9-1,Stanford,Oregon,"Wilson, A. fouled out to c (0-2 FK).","Wilson, A.",out,,,,,,,,
1941,20,86,8,bot,9-1,Stanford,Oregon,"Fuller, P to p for Hobaica, J.",,,,,,,,,,
1942,20,87,8,bot,9-1,Stanford,Oregon,Daschbach grounded out to 2b (0-1 K).,Daschbach,out,,,,,,,,
1943,20,88,9,top,9-1,Oregon,Stanford,"Wilson, A. to rf.","Wilson, A.",unknown,,,,,,,,
1944,20,89,9,top,9-1,Oregon,Stanford,"Goldfarb, J doubled to right center (0-0).","Goldfarb, J",second,,,,,,,,
1945,20,90,9,top,10-1,Oregon,Stanford,"Soderman, R singled to left field, RBI (0-0) Goldfarb, J scored.","Soderman, R",first,"Goldfarb, J",score,,,,,,
1946,20,91,9,top,10-1,Oregon,Stanford,"DeLuca, J fouled out to 2b (2-1 BFB).","DeLuca, J",out,,,,,,,,
1947,20,92,9,top,10-1,Oregon,Stanford,"Nelson, R struck out swinging (1-2 FKBS).","Nelson, R",out,,,,,,,,
1948,20,93,9,top,10-1,Oregon,Stanford,"Travess, T singled to center field (1-0 B) Soderman, R advanced to second.","Travess, T",first,"Soderman, R",second,,,,,,
1949,20,94,9,top,10-1,Oregon,Stanford,"Kasser, K singled to shortstop (0-2 KK) Travess, T advanced to second Soderman, R advanced to third.","Kasser, K",first,"Travess, T",second,"Soderman, R",third,,,,
1950,20,95,9,top,10-1,Oregon,Stanford,"Drees, J pinch hit for Patzlaff, D.","Drees, J",unknown,"Patzlaff, D",unknown,,,,,,
1951,20,96,9,top,10-1,Oregon,Stanford,"Drees, J flied out to cf (0-0).","Drees, J",out,,,,,,,,
1952,20,97,9,bot,10-1,Stanford,Oregon,"Stutzman, B to c for Soderman, R.","Soderman, R",unknown,,,,,,,,
1953,20,98,9,bot,10-1,Stanford,Oregon,"Molfetta,C pinch hit for Stowers,K.","Molfetta,C",unknown,"Stowers,K",unknown,,,,,,
1954,20,99,9,bot,10-1,Stanford,Oregon,"Molfetta,C popped up to ss (1-1 FB).","Molfetta,C",out,,,,,,,,
1955,20,100,9,bot,10-1,Stanford,Oregon,"Decker, M. pinch hit for Handley, M..","Decker, M.",unknown,"Handley, M.",unknown,,,,,,
1956,20,101,9,bot,10-1,Stanford,Oregon,"Decker, M. popped up to 3b (3-0 BBB).","Decker, M.",out,,,,,,,,
1957,20,102,9,bot,10-1,Stanford,Oregon,"Oar, N. pinch hit for Carter, B..","Oar, N.",unknown,"Carter, B.",unknown,,,,,,
1958,20,103,9,bot,10-1,Stanford,Oregon,"Oar, N. struck out swinging (2-2 FBBKS).","Oar, N.",out,,,,,,,,
1959,21,0,1,top,0-0,Oregon,Stanford,"Kasser, K grounded out to ss (2-2 BBKF).","Kasser, K",out,,,,,,,,
1960,21,1,1,top,0-0,Oregon,Stanford,"Patzlaff, D doubled down the rf line (1-2 BKSF).","Patzlaff, D",second,,,,,,,,
1961,21,2,1,top,0-0,Oregon,Stanford,"Steer, S popped up to 2b (2-2 KKBB).","Steer, S",out,,,,,,,,
1962,21,3,1,top,0-0,Oregon,Stanford,"Matthews, G walked (3-2 BBBKSFFB).","Matthews, G",first,,,,,,,,
1963,21,4,1,top,0-0,Oregon,Stanford,"Soderman, R struck out swinging (0-2 KFS).","Soderman, R",out,,,,,,,,
1964,21,5,1,bot,0-0,Stanford,Oregon,"Tawa, T. lined out to rf (0-1 S).","Tawa, T.",out,,,,,,,,
1965,21,6,1,bot,0-0,Stanford,Oregon,"Handley, M. lined out to cf (1-1 BK).","Handley, M.",out,,,,,,,,
1966,21,7,1,bot,0-0,Stanford,Oregon,"Hoerner,N flied out to cf (0-0).","Hoerner,N",out,,,,,,,,
1967,21,8,2,top,0-0,Oregon,Stanford,"Goldfarb, J grounded out to 3b (1-2 BKF).","Goldfarb, J",out,,,,,,,,
1968,21,9,2,top,0-0,Oregon,Stanford,"Yovan, K doubled down the lf line (3-1 BBBKB).","Yovan, K",second,,,,,,,,
1969,21,10,2,top,0-0,Oregon,Stanford,"Nelson, R hit by pitch (0-0).","Nelson, R",first,,,,,,,,
1970,21,11,2,top,0-0,Oregon,Stanford,"DeLuca, J flied out to lf (3-2 BBKFFFB).","DeLuca, J",out,,,,,,,,
1971,21,12,2,top,1-0,Oregon,Stanford,"Kasser, K singled to left field (0-0) Nelson, R advanced to third Yovan, K advanced to third, scored on a fielding error by lf, unearned.","Kasser, K",first,"Nelson, R",third,"Yovan, K",score,,,,
1972,21,13,2,top,1-0,Oregon,Stanford,"Patzlaff, D lined out to lf (2-1 KBB).","Patzlaff, D",out,,,,,,,,
1973,21,14,2,bot,1-0,Stanford,Oregon,Daschbach walked (3-2 BFBBSB).,Daschbach,first,,,,,,,,
1974,21,15,2,bot,1-0,Stanford,Oregon,"Stowers,K grounded into double play 1b to ss to 1b (0-0) Daschbach out on the play.","Stowers,K",out,Daschbach,out,,,,,,
1975,21,16,2,bot,1-0,Stanford,Oregon,Matthiessen grounded out to ss (0-2 KFF).,Matthiessen,out,,,,,,,,
1976,21,17,3,top,1-0,Oregon,Stanford,"Steer, S fouled out to 1b (0-1 K).","Steer, S",out,,,,,,,,
